Channel,Group,Source,Link
海南三沙卫视,weishi,,http://[2409:8087:1070:301:2028::11]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225940/index.m3u8?fmt=ts2hls
SiTV七彩戏剧,special,,http://[2409:8087:1020:301:2026::23]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225696/index.m3u8?fmt=ts2hls
SiTV东方财经,special,,http://[2409:8087:1020:301:2026::2f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225697/index.m3u8?fmt=ts2hls
SiTV动漫秀场,special,,http://[2409:8087:1020:301:2026::2e]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225777/index.m3u8?fmt=ts2hls
SiTV游戏风云,special,,http://[2409:8087:1020:301:2026::22]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225695/index.m3u8?fmt=ts2hls
SiTV都市剧场,special,,http://[2409:8087:1020:301:2026::2a]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225689/index.m3u8?fmt=ts2hls
北京卡酷少儿,special,,http://[2409:8087:1070:301:2026::24]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225687/index.m3u8?fmt=ts2hls
广东嘉佳卡通,special,,http://[2409:8087:1070:301:2028::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225968/index.m3u8?fmt=ts2hls
影视剧轮播,special,,http://[2409:8087:1020:301:2026::2d]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225677/index.m3u8?fmt=ts2hls
影视剧轮播,special,,http://[2409:8087:1020:301:2026::1f]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225678/index.m3u8?fmt=ts2hls
影视剧轮播,special,,http://[2409:8087:1020:301:2026::21]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225679/index.m3u8?fmt=ts2hls
影视剧轮播,special,,http://[2409:8087:1020:301:2026::2c]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225685/index.m3u8?fmt=ts2hls
影视剧轮播,special,,http://[2409:8087:1020:301:2026::23]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225710/index.m3u8?fmt=ts2hls
影视剧轮播,special,,http://[2409:8087:1020:301:2026::14]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225714/index.m3u8?fmt=ts2hls
影视剧轮播,special,,http://[2409:8087:1020:301:2026::12]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225716/index.m3u8?fmt=ts2hls
影视剧轮播,special,,http://[2409:8087:1020:301:2026::15]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225718/index.m3u8?fmt=ts2hls
电影,special,,http://[2409:8087:1020:301:2026::2c]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225683/index.m3u8?fmt=ts2hls
