Channel,Group,Source,Link
河北卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=9037187833113630344&livemode=1&stbId=2
河南卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7384596500152929578&livemode=1&stbId=2
浙江卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=4945391150963996912&livemode=1&stbId=2
深圳卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7696950400632248401&livemode=1&stbId=2
湖南卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8655038471675748531&livemode=1&stbId=2
海南卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7899627377857656087&livemode=1&stbId=2
甘肃卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017827&livemode=1&stbId=2
贵州卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000003169&livemode=1&stbId=2
贵州卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5468064193211864646&livemode=1&stbId=2
辽宁卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5393821316758187099&livemode=1&stbId=2
辽宁卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7638375013635582245&livemode=1&stbId=2
重庆卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7530473587484726181&livemode=1&stbId=2
陕西卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000007495&livemode=1&stbId=2
陕西卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=9149348477727203604&livemode=1&stbId=2
青海卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000013359&livemode=1&stbId=2
青海卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6721180114242078041&livemode=1&stbId=2
黑龙江卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8467838254824392379&livemode=1&stbId=2
黑龙江卫视,weishi,,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=9186015289302635496&livemode=1&stbId=2
